300	0,615	0
293,715	1,026	0
283,239	1,716	0
272,763	2,403	0
262,29	3,093	0
251,814	3,783	0
241,338	4,47	0
230,862	5,16	0
220,386	5,847	0
209,91	6,537	0
199,437	7,224	0
188,961	7,914	0
178,485	8,601	0
168,009	9,291	0
157,536	9,978	0
147,06	10,668	0
136,584	11,355	0
126,108	12,045	0
115,632	12,732	0
105,144	13,383	0
98,85	13,716	0
90,456	14,088	0
84,159	14,301	0
75,759	14,496	0
70,509	14,553	0
67,356	14,565	0
66,306	14,565	0
64,206	14,553	0
60,003	14,508	0
52,644	14,319	0
45,279	13,98	0
40,017	13,629	0
36,855	13,365	0
33,693	13,059	0
30,531	12,705	0
27,363	12,294	0
24,192	11,817	0
19,956	11,067	0
16,77	10,389	0
13,572	9,585	0
11,43	8,958	0
9,276	8,229	0
7,098	7,359	0
4,884	6,261	0
3,75	5,571	0
2,586	4,707	0
1,359	3,489	0
0	0	0
1,359	3,489	0
2,586	4,707	0
3,75	5,571	0
4,884	6,261	0
7,098	7,359	0
9,276	8,229	0
11,43	8,958	0
13,572	9,585	0
16,77	10,389	0
19,956	11,067	0
24,192	11,817	0
27,363	12,294	0
30,531	12,705	0
33,693	13,059	0
36,855	13,365	0
40,017	13,629	0
45,279	13,98	0
52,644	14,319	0
60,003	14,508	0
64,206	14,553	0
66,306	14,565	0
67,356	14,565	0
70,509	14,553	0
75,759	14,496	0
84,159	14,301	0
90,456	14,088	0
98,85	13,716	0
105,144	13,383	0
115,632	12,732	0
126,108	12,045	0
136,584	11,355	0
147,06	10,668	0
157,536	9,978	0
168,009	9,291	0
178,485	8,601	0
188,961	7,914	0
199,437	7,224	0
209,91	6,537	0
220,386	5,847	0
230,862	5,16	0
241,338	4,47	0
251,814	3,783	0
262,29	3,093	0
272,763	2,403	0
283,239	1,716	0
293,715	1,026	0
300	0,615	0
